Student,Grade,Feedback count,HW6,HW11,First_opened_mean_HW,Online,Preference,Both,Viewed_lecture_1_materials,Viewed_lecture_2_materials,Viewed_lecture_3_materials,Viewed_lecture_4_materials,Viewed_lecture_5_materials,Viewed_lecture_6_materials,Viewed_lecture_7_materials,Viewed_lecture_8_materials,Viewed_lecture_9_materials,Viewed_lecture_10_materials,Viewed_lecture_11_materials,Viewed_lecture_12_materials,Viewed_lecture_13_materials,Viewed_lecture_14_materials,Viewed_lecture_15_materials,Viewed sample solutions of Homework,Viewed past years' exam,Viewed sample solutions,Watched,Total_activity_week_1,Total_activity_week_2,Total_activity_week_3,Total_activity_week_4,Total_activity_week_5,Total_activity_week_6,Total_activity_week_7,Total_activity_week_8,Total_activity_week_9,Total_activity_week_10,Total_activity_week_11,Total_activity_week_12,Total_activity_week_13,Total_activity_week_14,Total_activity_week_15,Total_activity_week_16,Total_activity_week_17,Total_activity_week_18,start_before_HW1,start_before_HW2,start_before_HW3,start_before_HW4,start_before_HW5,start_before_HW6,start_before_HW7,start_before_HW8,start_before_HW9,start_before_HW10,start_before_HW11,start_before_HW12,submit_before_HW1,submit_before_HW2,submit_before_HW3,submit_before_HW4,submit_before_HW5,submit_before_HW6,submit_before_HW7,submit_before_HW8,submit_before_HW9,submit_before_HW10,submit_before_HW11,submit_before_HW12,start_average,submit_average,start_time_HW1,start_time_HW2,start_time_HW3,start_time_HW4,start_time_HW5,start_time_HW6,start_time_HW7,start_time_HW8,start_time_HW9,start_time_HW10,start_time_HW11,start_time_HW12,study_night_final2,study_night_final_retake
B086,2.0,14,0,1,2.3333333333333335,7,0,1,56,1,3,2,1,2,5,7,13,2,9,9,12,13,7,0,4,4,8,2.0,7.0,3.0,10.0,3.0,0.0,1.0,6.0,4.0,20.0,11.0,7.0,5.0,4.0,9.0,58.0,20.0,3.0,2,3,-1,-1,4,-1,8,-1,0,1,0,3,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,1.4166666666666667,-0.75,25.0,25.0,-1.0,-1.0,25.0,-1.0,25.0,-1.0,3.974166666666669,25.0,8.545833333333334,25.0,1,0
B087,6.0,102,15,4,10.0,0,1,1,33,10,10,8,4,7,8,2,1,3,8,9,6,2,1,1,0,2,0,2.0,4.0,5.0,2.0,17.0,13.0,2.0,10.0,24.0,37.0,19.0,9.0,19.0,16.0,22.0,23.0,15.0,5.0,14,15,13,15,12,3,15,3,7,14,1,8,8,1,-1,-1,-1,0,0,0,0,0,0,-1,10.0,0.4166666666666667,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
B088,4.0,26,3,2,6.1,0,1,1,4,2,2,1,1,0,1,1,1,0,1,0,0,1,0,5,2,7,15,6.0,5.0,6.0,2.0,8.0,3.0,8.0,4.0,8.0,3.0,2.0,4.0,3.0,10.0,16.0,12.0,2.0,0.0,7,2,6,3,0,3,12,0,3,3,8,14,7,0,0,0,0,0,0,0,0,3,7,13,5.083333333333333,2.5,25.0,25.0,25.0,25.0,12.4825,25.0,25.0,9.732777777777777,25.0,25.0,25.0,25.0,0,0
B089,4.0,15,2,2,3.4444444444444446,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,2.0,5.0,2.0,5.0,2.0,5.0,2.0,3.0,5.0,3.0,2.0,3.0,2.0,3.0,0.0,0,3,3,3,0,5,6,1,2,4,4,-1,0,0,0,0,0,0,0,0,0,0,0,-1,2.5,-0.08333333333333333,6.771111111111114,25.0,25.0,25.0,5.506666666666664,25.0,25.0,25.0,25.0,25.0,25.0,-1.0,0,0
B090,6.0,49,6,10,10.75,0,1,1,69,7,8,6,5,5,9,11,11,7,13,11,12,8,8,22,2,27,0,5.0,5.0,3.0,10.0,19.0,4.0,12.0,13.0,15.0,35.0,10.0,21.0,13.0,15.0,34.0,35.0,28.0,6.0,14,7,11,15,13,6,13,7,14,6,11,16,1,0,4,4,0,0,0,0,0,0,1,0,11.083333333333334,0.8333333333333334,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
B091,0.0,0,0,0,0.0,0,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
B092,5.0,16,2,4,5.5,8,0,2,30,4,3,3,8,4,4,1,8,3,5,10,4,3,1,6,1,6,1,6.0,2.0,3.0,4.0,6.0,6.0,4.0,8.0,7.0,21.0,2.0,11.0,4.0,4.0,10.0,27.0,6.0,0.0,7,14,0,6,1,0,0,0,6,5,11,3,0,0,0,0,0,0,0,0,0,0,0,3,4.416666666666667,0.25,25.0,25.0,12.20888888888889,25.0,25.0,13.723333333333333,9.07,7.737777777777779,25.0,25.0,25.0,25.0,0,0
B093,3.0,1,2,0,5.0,0,1,1,28,6,10,2,4,3,5,8,5,5,5,3,1,1,1,12,3,13,5,8.0,3.0,3.0,10.0,15.0,3.0,3.0,4.0,5.0,38.0,1.0,9.0,9.0,2.0,1.0,35.0,2.0,0.0,6,2,1,0,0,0,0,0,0,0,-1,11,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,1.5833333333333333,-0.5,25.0,25.0,25.0,1.7438888888888897,7.692777777777778,3.1011111111111127,13.315,5.34,1.5597222222222236,3.1288888888888877,-1.0,25.0,0,0
B094,2.0,43,12,7,2.4285714285714284,0,1,1,49,7,8,11,6,7,3,14,9,8,11,10,10,1,2,54,0,59,0,1.0,0.0,0.0,5.0,17.0,9.0,10.0,6.0,33.0,33.0,5.0,10.0,2.0,14.0,42.0,5.0,46.0,15.0,1,0,7,1,1,2,4,-1,0,0,0,1,0,0,0,0,1,1,0,-1,-1,0,0,0,1.3333333333333333,0.0,25.0,2.051666666666666,25.0,25.0,25.0,25.0,25.0,-1.0,2.703333333333333,6.168333333333333,2.0827777777777783,25.0,0,0
B095,6.0,36,5,6,3.5,0,1,1,70,9,8,8,5,11,11,8,8,8,10,8,21,10,6,5,3,7,17,4.0,3.0,7.0,10.0,12.0,20.0,11.0,13.0,8.0,29.0,6.0,18.0,15.0,19.0,14.0,41.0,13.0,2.0,14,1,2,1,8,1,2,3,2,1,6,13,3,0,0,0,0,0,0,1,0,0,0,0,4.5,0.3333333333333333,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
B096,5.0,75,17,4,11.083333333333334,4,0,1,59,11,5,4,9,6,8,9,4,4,12,11,8,10,6,19,3,23,1,6.0,16.0,4.0,5.0,22.0,20.0,11.0,13.0,22.0,57.0,16.0,18.0,15.0,21.0,27.0,53.0,12.0,2.0,14,15,13,15,13,11,15,14,5,14,12,17,6,0,0,0,0,0,0,0,0,0,0,0,13.166666666666666,0.5,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
B097,3.0,13,6,1,3.857142857142857,2,0,1,22,3,6,3,6,3,5,4,4,4,3,4,7,0,0,9,1,10,3,6.0,0.0,1.0,1.0,0.0,1.0,3.0,13.0,4.0,43.0,3.0,7.0,8.0,1.0,17.0,5.0,1.0,0.0,11,-1,2,4,0,0,1,1,1,0,7,-1,1,-1,-1,-1,-1,0,0,-1,-1,0,-1,-1,2.0833333333333335,-0.5833333333333334,25.0,-1.0,25.0,25.0,4.350277777777777,7.726666666666667,25.0,25.0,25.0,2.211944444444441,25.0,-1.0,0,0
B098,3.0,12,4,3,6.636363636363637,1,1,2,2,0,2,3,2,2,1,1,0,0,0,0,0,0,1,8,2,11,1,0.0,1.0,0.0,4.0,7.0,5.0,2.0,3.0,4.0,12.0,3.0,0.0,2.0,1.0,4.0,7.0,10.0,0.0,3,6,7,10,6,6,12,6,5,0,5,7,1,-1,3,0,0,0,-1,0,-1,-1,0,-1,6.083333333333333,-0.08333333333333333,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,14.930277777777778,25.0,25.0,0,0
B099,2.0,4,2,2,8.666666666666666,1,0,1,17,7,5,2,2,2,3,2,4,4,1,1,1,3,3,13,5,14,1,4.0,4.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,20.0,1.0,2.0,0.0,0.0,3.0,35.0,3.0,0.0,6,13,-1,-1,-1,7,0,-1,-1,-1,0,-1,6,-1,-1,-1,-1,7,-1,-1,-1,-1,0,-1,1.5833333333333333,0.3333333333333333,25.0,25.0,-1.0,-1.0,-1.0,25.0,9.211666666666666,-1.0,-1.0,-1.0,4.816666666666666,-1.0,0,0
B100,4.0,54,14,5,6.454545454545454,1,1,2,35,5,10,7,2,3,1,5,2,2,5,5,7,7,4,18,3,21,3,4.0,5.0,7.0,4.0,8.0,11.0,4.0,10.0,6.0,13.0,16.0,4.0,5.0,11.0,38.0,38.0,8.0,1.0,14,1,4,4,4,7,10,0,2,4,7,14,1,0,0,0,0,0,0,0,0,0,5,11,5.916666666666667,1.4166666666666667,25.0,25.0,25.0,25.0,25.0,25.0,25.0,14.32138888888889,25.0,25.0,25.0,25.0,0,0
B101,6.0,20,3,6,4.666666666666667,2,1,1,34,2,2,2,1,3,3,4,3,4,2,6,8,6,5,12,2,16,8,5.0,3.0,3.0,4.0,7.0,4.0,6.0,8.0,9.0,15.0,2.0,4.0,8.0,6.0,10.0,4.0,8.0,27.0,11,4,4,4,1,5,14,3,4,1,1,4,5,0,2,1,0,1,0,0,0,0,-1,0,4.666666666666667,0.6666666666666666,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
B102,3.0,22,6,12,5.0,0,1,1,35,2,0,1,7,5,5,5,2,5,4,4,7,13,2,31,3,40,0,0.0,2.0,0.0,0.0,2.0,2.0,4.0,7.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,90.0,36.0,0.0,-80,0,1,0,0,0,-1,-1,-1,-1,4,10,-84,-1,0,0,0,0,-1,-1,-1,-1,0,1,-5.75,-7.333333333333333,0.0,5.000277777777775,25.0,0.2558333333333316,4.04111111111111,1.4700000000000024,-1.0,-1.0,-1.0,-1.0,25.0,25.0,0,0
B103,1.0,26,7,3,4.181818181818182,0,1,1,39,8,12,6,5,6,4,6,9,5,10,6,5,5,3,2,5,3,2,3.0,3.0,14.0,8.0,5.0,8.0,9.0,1.0,11.0,8.0,21.0,7.0,15.0,17.0,10.0,17.0,3.0,27.0,8,8,1,3,10,1,8,1,2,1,3,0,7,1,0,2,9,1,5,0,0,1,1,-1,3.8333333333333335,2.1666666666666665,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,3.6594444444444463,0,0
B104,5.0,8,4,6,2.8181818181818183,17,0,1,68,7,7,3,9,9,7,9,5,4,9,12,16,11,9,10,4,12,0,6.0,1.0,7.0,7.0,20.0,18.0,3.0,14.0,10.0,17.0,5.0,20.0,12.0,18.0,14.0,6.0,20.0,16.0,3,2,2,3,2,3,3,1,4,2,0,6,1,0,1,-1,0,0,0,-1,0,0,-1,-1,2.5833333333333335,-0.16666666666666666,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,5.719444444444445,25.0,0,0
B105,0.0,1,0,0,6.0,1,0,1,12,7,7,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,5,5.0,1.0,5.0,5.0,27.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.4166666666666667,-0.9166666666666666,-1.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
B106,2.0,14,2,2,6.571428571428571,0,1,1,4,0,0,0,1,0,1,0,0,0,1,0,1,1,0,4,3,4,6,3.0,0.0,1.0,4.0,1.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,10.0,16.0,6.0,0.0,6,7,0,6,0,7,0,0,0,3,5,12,0,-1,0,0,0,0,0,-1,-1,0,4,-1,3.8333333333333335,0.0,25.0,25.0,2.410277777777779,25.0,2.9683333333333337,25.0,2.84416666666667,1.2561111111111103,1.6144444444444446,25.0,25.0,25.0,0,0
B107,2.0,11,0,2,1.6363636363636365,12,0,2,44,2,1,6,8,2,3,5,4,9,7,5,4,13,4,0,3,0,1,1.0,1.0,1.0,5.0,8.0,8.0,5.0,6.0,6.0,20.0,6.0,5.0,6.0,15.0,16.0,20.0,5.0,1.0,1,3,2,2,2,-1,1,1,2,1,2,1,1,3,2,2,2,-1,1,1,2,1,2,1,1.4166666666666667,1.4166666666666667,25.0,25.0,25.0,25.0,25.0,-1.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
B108,4.0,18,5,3,8.0,10,1,3,93,13,6,2,12,14,23,16,27,15,23,20,14,6,5,30,2,32,10,6.0,10.0,9.0,11.0,7.0,9.0,9.0,27.0,29.0,55.0,13.0,42.0,22.0,23.0,41.0,8.0,0.0,0.0,14,13,9,13,3,7,8,4,5,5,10,15,9,2,6,1,1,0,0,0,2,2,4,-1,8.833333333333334,2.1666666666666665,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
