Student,Grade,Feedback count,HW6,HW11,First_opened_mean_HW,Online,Preference,Both,Viewed_lecture_1_materials,Viewed_lecture_2_materials,Viewed_lecture_3_materials,Viewed_lecture_4_materials,Viewed_lecture_5_materials,Viewed_lecture_6_materials,Viewed_lecture_7_materials,Viewed_lecture_8_materials,Viewed_lecture_9_materials,Viewed_lecture_10_materials,Viewed_lecture_11_materials,Viewed_lecture_12_materials,Viewed_lecture_13_materials,Viewed_lecture_14_materials,Viewed_lecture_15_materials,Viewed sample solutions of Homework,Viewed past years' exam,Viewed sample solutions,Watched,Total_activity_week_1,Total_activity_week_2,Total_activity_week_3,Total_activity_week_4,Total_activity_week_5,Total_activity_week_6,Total_activity_week_7,Total_activity_week_8,Total_activity_week_9,Total_activity_week_10,Total_activity_week_11,Total_activity_week_12,Total_activity_week_13,Total_activity_week_14,Total_activity_week_15,Total_activity_week_16,Total_activity_week_17,Total_activity_week_18,start_before_HW1,start_before_HW2,start_before_HW3,start_before_HW4,start_before_HW5,start_before_HW6,start_before_HW7,start_before_HW8,start_before_HW9,start_before_HW10,start_before_HW11,start_before_HW12,submit_before_HW1,submit_before_HW2,submit_before_HW3,submit_before_HW4,submit_before_HW5,submit_before_HW6,submit_before_HW7,submit_before_HW8,submit_before_HW9,submit_before_HW10,submit_before_HW11,submit_before_HW12,start_average,submit_average,start_time_HW1,start_time_HW2,start_time_HW3,start_time_HW4,start_time_HW5,start_time_HW6,start_time_HW7,start_time_HW8,start_time_HW9,start_time_HW10,start_time_HW11,start_time_HW12,study_night_final2,study_night_final_retake
A001,4.0,24,3,6,3.3333333333333335,1,0,1,41,5,9,8,8,8,9,10,12,6,10,8,7,3,1,16,0,16,0,3.0,3.0,1.0,7.0,22.0,12.0,19.0,6.0,12.0,10.0,4.0,27.0,12.0,11.0,16.0,15.0,9.0,0.0,5,4,4,1,5,4,0,1,0,1,5,-1,1,0,0,0,0,0,0,0,0,0,0,-1,2.4166666666666665,0.0,25.0,25.0,25.0,25.0,25.0,25.0,13.926111111111112,25.0,11.549166666666668,25.0,25.0,-1.0,0,0
A002,6.0,51,9,4,5.083333333333333,6,0,1,37,8,9,5,6,4,7,8,8,5,10,9,4,3,3,2,1,2,3,0.0,5.0,6.0,6.0,12.0,19.0,6.0,8.0,15.0,25.0,14.0,9.0,26.0,13.0,28.0,4.0,14.0,0.0,4,2,4,8,7,2,5,4,4,3,9,10,4,0,3,1,6,1,0,0,0,3,6,-1,5.166666666666667,1.9166666666666667,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
A003,0.0,3,0,0,7.75,1,1,1,6,7,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,4.0,8.0,2.0,8.0,11.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.9166666666666667,-0.75,25.0,25.0,25.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
A004,2.0,53,4,8,5.909090909090909,1,1,2,59,11,8,13,8,4,6,11,12,10,9,8,7,4,5,7,1,8,17,22.0,8.0,5.0,20.0,12.0,13.0,18.0,5.0,26.0,5.0,3.0,22.0,38.0,9.0,20.0,15.0,37.0,6.0,10,7,11,18,1,3,1,2,0,5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,5.416666666666667,0.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,12.033333333333333,25.0,25.0,25.0,0,0
A005,6.0,124,7,9,8.416666666666666,4,0,2,88,5,8,9,8,8,7,4,5,11,14,16,14,17,11,13,3,19,3,5.0,5.0,8.0,14.0,22.0,12.0,10.0,19.0,4.0,45.0,14.0,20.0,28.0,25.0,46.0,70.0,51.0,1.0,9,11,12,15,10,4,11,8,1,6,7,7,6,5,1,0,3,2,1,0,0,0,4,0,8.416666666666666,1.8333333333333333,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
A006,3.0,124,7,6,7.916666666666667,0,1,1,84,10,11,10,16,17,11,14,18,13,13,22,12,10,5,18,4,21,9,6.0,2.0,5.0,5.0,23.0,19.0,16.0,8.0,21.0,39.0,8.0,27.0,31.0,24.0,37.0,68.0,38.0,2.0,4,4,1,4,5,4,11,8,12,16,14,12,0,0,0,0,0,0,0,0,0,0,0,0,7.916666666666667,0.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
A007,3.0,13,2,2,2.0,1,0,1,39,9,11,6,7,6,3,7,6,4,10,5,9,1,1,9,3,9,11,1.0,0.0,6.0,2.0,12.0,11.0,12.0,0.0,20.0,13.0,1.0,9.0,10.0,2.0,9.0,49.0,0.0,0.0,1,0,0,0,0,3,0,0,0,0,0,-1,1,0,0,0,0,3,0,0,0,0,0,-1,0.25,0.25,25.0,3.255555555555553,2.4224999999999994,3.1405555555555544,4.418333333333333,25.0,3.0919444444444473,10.872222222222222,4.207222222222221,4.251111111111111,0.5311111111111124,-1.0,0,0
A008,6.0,33,4,3,4.583333333333333,0,1,1,26,1,2,1,0,0,2,1,4,5,7,3,5,3,3,7,1,8,16,5.0,2.0,0.0,7.0,10.0,4.0,8.0,8.0,8.0,11.0,10.0,15.0,8.0,18.0,26.0,8.0,3.0,0.0,6,3,1,2,5,6,3,2,3,3,9,12,6,3,1,2,5,6,3,2,3,3,9,10,4.583333333333333,4.416666666666667,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
A009,1.0,14,4,0,4.8,0,1,1,39,6,7,4,7,8,8,4,4,3,5,4,2,9,5,4,9,10,2,5.0,1.0,5.0,2.0,5.0,3.0,15.0,3.0,4.0,53.0,5.0,2.0,4.0,0.0,0.0,0.0,12.0,57.0,7,9,-1,-1,3,1,-1,4,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.4166666666666667,-0.3333333333333333,25.0,25.0,-1.0,-1.0,25.0,25.0,-1.0,25.0,-1.0,-1.0,-1.0,-1.0,1,0
A010,0.0,5,0,0,1.0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3.0,2.0,0.0,2.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.5833333333333334,-0.75,25.0,2.7280555555555566,5.468333333333334,12.850555555555555,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
A011,2.0,48,6,5,2.142857142857143,7,0,2,32,2,4,6,9,4,2,2,5,2,6,7,5,4,6,10,2,15,4,3.0,2.0,0.0,9.0,6.0,10.0,10.0,12.0,4.0,10.0,3.0,6.0,11.0,13.0,10.0,40.0,8.0,21.0,2,8,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0.0,25.0,25.0,25.0,14.11138888888889,4.73,25.0,25.0,25.0,4.520277777777778,25.0,7.916666666666668,2.8036111111111097,1,0
A012,3.0,8,2,0,5.0,0,1,1,28,1,2,1,7,5,4,2,5,3,5,5,3,5,3,1,6,11,0,2.0,1.0,2.0,2.0,5.0,2.0,7.0,1.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,22.0,9,1,0,0,0,0,0,0,-1,-1,-1,-1,9,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0.5,0.25,25.0,25.0,1.5402777777777779,0.6741666666666681,0.919722222222223,1.4586111111111109,3.0841666666666683,0.6627777777777801,-1.0,-1.0,-1.0,-1.0,0,1
A013,2.0,5,3,1,3.1666666666666665,0,1,1,17,7,8,5,11,3,3,3,7,4,2,1,4,1,1,22,6,26,4,3.0,1.0,0.0,6.0,22.0,0.0,3.0,0.0,4.0,18.0,0.0,4.0,2.0,0.0,1.0,71.0,1.0,0.0,1,4,7,1,1,5,0,0,-1,0,0,-1,0,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.4166666666666667,-0.16666666666666666,25.0,25.0,25.0,25.0,25.0,25.0,12.751111111111111,23.817777777777778,-1.0,0.5069444444444429,5.694722222222222,-1.0,0,0
A014,2.0,9,2,3,5.0,1,1,2,33,16,12,14,5,6,4,5,7,3,8,7,5,2,0,4,0,5,8,4.0,5.0,1.0,9.0,26.0,15.0,3.0,1.0,10.0,15.0,1.0,14.0,18.0,9.0,12.0,3.0,1.0,1.0,6,5,7,6,2,4,0,1,2,0,7,10,1,0,0,0,0,0,0,-1,-1,-1,0,-1,4.166666666666667,-0.25,25.0,25.0,25.0,25.0,25.0,25.0,8.549722222222224,25.0,25.0,14.804444444444444,25.0,25.0,0,0
A015,5.0,53,6,5,11.416666666666666,2,1,2,104,22,17,12,10,14,15,16,20,15,21,24,10,11,6,36,3,45,5,6.0,8.0,3.0,17.0,30.0,16.0,15.0,32.0,40.0,46.0,26.0,37.0,13.0,35.0,44.0,33.0,15.0,8.0,10,9,11,12,12,12,11,11,12,12,14,11,0,0,5,10,1,0,0,0,0,0,0,-1,11.416666666666666,1.25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
A016,3.0,15,1,1,0.0,1,1,2,18,4,3,3,1,1,3,3,6,4,2,2,2,2,1,16,4,20,1,5.0,5.0,3.0,2.0,7.0,8.0,4.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,50.0,11.0,11.0,8.0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-0.5833333333333334,-0.6666666666666666,1.1141666666666659,0.7875000000000014,3.923055555555557,12.164722222222222,-1.0,-1.0,-1.0,-1.0,-1.0,1.68472222222222,-1.0,-1.0,0,0
A017,6.0,41,4,6,3.125,0,1,1,88,10,13,10,5,8,12,11,8,6,14,16,20,13,10,2,6,9,3,5.0,1.0,8.0,9.0,4.0,14.0,8.0,9.0,30.0,24.0,5.0,15.0,12.0,16.0,21.0,9.0,51.0,17.0,8,8,2,0,2,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2.0833333333333335,0.08333333333333333,25.0,25.0,25.0,7.484166666666667,25.0,25.0,7.989999999999998,6.865277777777777,25.0,9.948888888888888,25.0,25.0,0,0
A018,4.0,39,9,2,6.416666666666667,3,1,2,48,4,15,8,6,9,7,10,7,4,5,10,14,9,4,37,3,45,8,3.0,1.0,6.0,8.0,23.0,17.0,12.0,7.0,21.0,47.0,9.0,13.0,16.0,15.0,33.0,22.0,7.0,0.0,7,7,1,6,10,4,11,2,7,4,14,4,0,0,0,0,0,0,0,0,0,0,-1,-1,6.416666666666667,-0.16666666666666666,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
A019,2.0,67,9,3,9.25,2,1,2,60,14,10,11,13,15,11,7,13,9,5,6,4,5,13,16,8,22,11,10.0,13.0,2.0,12.0,20.0,14.0,7.0,11.0,19.0,54.0,7.0,1.0,21.0,12.0,9.0,61.0,20.0,33.0,5,8,7,14,11,11,7,1,7,14,14,12,4,0,3,8,1,1,0,0,0,7,14,9,9.25,3.9166666666666665,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,1,0
A020,2.0,77,6,6,7.75,0,1,1,41,4,3,4,3,4,2,1,1,0,1,4,6,14,9,13,1,23,5,4.0,0.0,5.0,6.0,5.0,4.0,2.0,5.0,6.0,25.0,2.0,3.0,5.0,11.0,7.0,51.0,50.0,8.0,10,11,8,15,3,3,11,6,3,4,8,11,9,-1,1,0,0,0,0,0,0,-1,0,0,7.75,0.6666666666666666,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
A021,3.0,48,6,7,10.125,0,1,1,93,7,15,10,12,13,11,14,12,12,17,11,14,16,10,38,5,44,0,9.0,3.0,9.0,12.0,19.0,11.0,9.0,15.0,4.0,69.0,7.0,10.0,0.0,0.0,0.0,0.0,48.0,87.0,8,8,11,15,11,11,7,10,-1,-1,-1,-1,8,4,11,15,3,3,-1,-1,-1,-1,-1,-1,6.416666666666667,3.1666666666666665,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,-1.0,-1.0,-1.0,-1.0,0,0
A022,4.0,29,9,1,3.0,9,0,1,13,2,3,6,3,2,3,1,1,2,5,2,2,1,0,0,0,1,0,0.0,0.0,0.0,11.0,6.0,9.0,9.0,2.0,4.0,9.0,3.0,4.0,13.0,13.0,8.0,4.0,3.0,0.0,3,0,0,0,0,0,3,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,-1,-1,0.4166666666666667,-0.25,25.0,13.51638888888889,13.39388888888889,7.897222222222222,7.223055555555558,1.9094444444444463,25.0,2.834444444444447,23.15138888888889,6.012499999999999,6.671944444444446,-1.0,0,0
A023,6.0,54,4,10,2.875,2,1,2,96,3,5,8,6,9,8,8,18,18,21,18,14,10,10,17,0,25,14,6.0,0.0,0.0,6.0,22.0,12.0,19.0,4.0,42.0,25.0,5.0,28.0,43.0,20.0,30.0,20.0,40.0,60.0,1,0,1,0,0,3,7,1,1,4,5,0,1,0,0,0,0,3,0,0,0,4,5,0,1.9166666666666667,1.0833333333333333,25.0,11.342222222222222,25.0,22.560833333333335,13.311666666666666,25.0,25.0,25.0,25.0,25.0,25.0,14.396944444444445,0,0
A024,6.0,40,4,3,6.0,9,0,3,56,4,4,2,9,9,7,9,9,7,16,11,8,7,4,23,9,30,7,6.0,3.0,5.0,14.0,11.0,7.0,7.0,13.0,16.0,40.0,4.0,18.0,9.0,13.0,29.0,41.0,6.0,2.0,8,9,8,2,5,2,5,7,0,6,8,-1,2,0,0,0,0,0,0,-1,0,0,0,-1,4.916666666666667,0.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,6.275833333333335,25.0,25.0,-1.0,0,0
A025,0.0,12,3,0,10.333333333333334,0,1,1,10,10,11,9,6,4,4,2,2,1,0,0,0,0,0,3,0,4,3,6.0,2.0,9.0,11.0,24.0,14.0,15.0,9.0,10.0,5.0,4.0,10.0,4.0,2.0,1.0,0.0,0.0,0.0,10,8,11,18,12,11,10,7,6,0,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,7.583333333333333,-0.4166666666666667,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,10.212222222222222,-1.0,-1.0,0,0
A026,3.0,14,2,3,3.4545454545454546,0,1,1,37,4,5,4,4,2,2,5,3,3,11,7,7,3,3,0,2,0,8,5.0,1.0,1.0,4.0,7.0,5.0,4.0,1.0,0.0,14.0,0.0,7.0,11.0,7.0,21.0,24.0,10.0,0.0,4,4,3,3,6,1,1,4,2,9,1,-1,4,0,1,3,-1,0,1,0,-1,0,0,-1,3.0833333333333335,0.5,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,-1.0,0,0
A027,3.0,263,8,23,7.25,12,1,3,108,17,17,11,20,17,14,12,14,8,27,18,23,12,2,31,13,40,21,13.0,13.0,10.0,15.0,31.0,32.0,8.0,49.0,46.0,64.0,19.0,15.0,30.0,48.0,52.0,64.0,54.0,69.0,2,2,3,9,11,11,11,8,11,14,1,4,0,1,2,7,4,3,1,0,0,0,0,-1,7.25,1.4166666666666667,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,1,0
A028,4.0,51,4,10,11.75,3,0,1,117,9,8,6,5,7,5,9,4,5,23,23,25,23,15,19,6,23,2,1.0,4.0,4.0,7.0,9.0,15.0,2.0,8.0,15.0,23.0,14.0,17.0,13.0,23.0,44.0,23.0,32.0,39.0,10,9,12,15,12,12,12,12,0,0,0,0,2,2,0,-1,0,0,0,0,0,0,0,0,7.833333333333333,0.25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,10.547500000000001,21.948888888888888,6.719166666666666,9.26388888888889,0,0
A029,3.0,15,2,2,3.9166666666666665,10,0,2,31,7,7,7,8,6,10,5,4,4,5,3,6,4,2,7,0,7,1,7.0,4.0,1.0,14.0,75.0,9.0,4.0,6.0,8.0,39.0,0.0,13.0,11.0,16.0,11.0,14.0,4.0,0.0,4,6,4,8,10,4,1,2,1,1,4,2,4,0,1,0,0,0,0,0,0,0,0,-1,3.9166666666666665,0.3333333333333333,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
A030,6.0,22,3,3,12.833333333333334,10,0,1,167,8,11,8,14,11,8,20,22,15,28,36,31,21,19,27,4,32,1,19.0,7.0,12.0,13.0,19.0,8.0,11.0,13.0,33.0,6.0,18.0,11.0,30.0,13.0,115.0,66.0,2.0,6.0,10,11,12,18,12,12,12,12,12,18,14,12,10,11,12,15,12,12,9,11,11,17,12,-1,12.916666666666666,10.916666666666666,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
A031,4.0,16,4,3,7.2,12,0,2,43,5,6,12,7,6,5,6,4,6,14,9,4,2,2,15,2,18,2,5.0,3.0,4.0,6.0,17.0,14.0,15.0,16.0,1.0,14.0,2.0,22.0,10.0,10.0,13.0,19.0,2.0,0.0,7,8,12,10,11,11,6,2,9,0,5,-1,7,0,0,1,3,0,0,0,-1,-1,0,-1,6.666666666666667,0.6666666666666666,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,4.27888888888889,25.0,-1.0,0,0
A032,3.0,8,2,5,4.25,8,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.0,1.0,3.0,5.0,2.0,3.0,4.0,4.0,2.0,3.0,0.0,3.0,3.0,4.0,3.0,3.0,3.0,0.0,3,0,0,6,9,3,5,1,0,1,6,-1,1,0,0,0,0,0,0,0,0,0,0,-1,2.75,0.0,25.0,10.390833333333333,6.758611111111112,25.0,25.0,25.0,25.0,25.0,8.471388888888889,25.0,25.0,-1.0,0,0
A033,3.0,19,4,5,4.363636363636363,10,0,1,3,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,6,2,2,4.0,2.0,3.0,1.0,9.0,2.0,5.0,4.0,1.0,5.0,4.0,3.0,5.0,5.0,4.0,8.0,8.0,0.0,10,5,3,6,6,3,6,3,2,0,3,1,3,0,2,0,3,1,0,3,0,0,2,0,4.0,1.1666666666666667,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0.6994444444444454,25.0,25.0,0,0
A034,5.0,17,2,3,3.5714285714285716,1,1,1,40,5,5,4,7,7,7,9,5,6,7,6,7,5,4,3,1,5,1,9.0,1.0,6.0,10.0,8.0,6.0,15.0,8.0,14.0,7.0,7.0,11.0,10.0,17.0,8.0,6.0,3.0,27.0,1,8,1,0,10,3,0,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,-1,2.0833333333333335,0.25,25.0,25.0,25.0,15.06611111111111,25.0,25.0,12.951944444444445,25.0,25.0,2.3197222222222216,2.411944444444444,6.948333333333334,0,0
A035,4.0,88,9,8,4.7,0,1,1,15,7,8,2,8,14,4,1,1,1,2,2,1,1,2,34,1,65,3,7.0,2.0,13.0,1.0,14.0,10.0,12.0,8.0,20.0,35.0,4.0,1.0,3.0,3.0,2.0,7.0,25.0,93.0,7,3,7,5,4,1,5,0,4,5,6,-1,7,1,4,5,0,0,-1,0,-1,-1,1,-1,3.8333333333333335,1.1666666666666667,25.0,25.0,25.0,25.0,25.0,25.0,25.0,2.205833333333331,25.0,25.0,25.0,-1.0,0,0
A036,1.0,38,3,0,2.375,0,1,1,18,6,6,5,5,3,3,3,3,3,4,4,1,0,0,2,3,2,2,0.0,3.0,1.0,6.0,11.0,16.0,7.0,5.0,17.0,19.0,6.0,9.0,22.0,8.0,1.0,1.0,0.0,2.0,5,2,6,1,0,1,0,1,1,2,-1,-1,5,1,0,0,0,-1,-1,0,-1,-1,-1,-1,1.4166666666666667,0.0,25.0,25.0,25.0,25.0,12.935277777777777,25.0,7.059722222222224,25.0,25.0,25.0,-1.0,-1.0,0,0
A037,3.0,28,1,4,5.7272727272727275,0,1,1,54,5,4,5,4,9,5,8,6,11,15,8,6,5,1,10,2,14,1,9.0,3.0,3.0,8.0,8.0,5.0,9.0,7.0,17.0,26.0,5.0,5.0,10.0,11.0,8.0,5.0,32.0,10.0,10,5,7,5,4,4,7,6,5,5,5,0,1,0,0,0,0,-1,-1,-1,0,0,0,-1,5.25,-0.25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,9.215,0,0
A038,5.0,81,3,5,10.666666666666666,0,1,1,42,1,1,2,3,4,4,2,1,3,11,11,6,4,5,6,1,8,3,1.0,1.0,2.0,4.0,5.0,16.0,8.0,8.0,6.0,15.0,6.0,15.0,11.0,29.0,33.0,28.0,11.0,0.0,4,7,11,18,11,7,8,8,11,18,14,11,0,0,0,4,0,1,0,0,0,0,0,2,10.666666666666666,0.5833333333333334,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
A039,6.0,21,3,5,5.083333333333333,9,0,2,66,6,6,5,6,8,10,6,12,10,14,12,10,6,6,0,0,0,4,9.0,6.0,5.0,8.0,10.0,7.0,6.0,7.0,10.0,17.0,4.0,12.0,42.0,6.0,22.0,24.0,9.0,0.0,7,2,7,1,8,2,5,3,6,5,12,9,5,1,3,0,2,2,0,0,0,0,-1,2,5.583333333333333,1.1666666666666667,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
A040,2.0,43,3,8,2.8181818181818183,0,1,1,47,12,5,4,3,5,3,11,8,3,5,4,3,7,1,10,3,11,47,15.0,16.0,13.0,8.0,22.0,2.0,8.0,4.0,20.0,18.0,13.0,17.0,6.0,12.0,23.0,16.0,18.0,35.0,1,7,2,2,3,2,0,6,3,2,2,1,0,-1,0,0,0,-1,0,0,0,-1,0,-1,2.5833333333333335,-0.3333333333333333,25.0,25.0,25.0,25.0,25.0,25.0,7.703611111111108,25.0,25.0,25.0,25.0,25.0,0,0
A041,2.0,82,6,5,11.5,2,1,2,71,7,14,13,14,19,4,4,6,8,11,16,15,7,3,11,0,13,17,4.0,3.0,8.0,6.0,37.0,8.0,12.0,2.0,40.0,23.0,4.0,25.0,15.0,23.0,20.0,67.0,15.0,0.0,7,6,12,16,12,8,12,9,12,18,14,12,7,5,8,4,0,1,0,0,0,-1,0,-1,11.5,1.9166666666666667,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
A042,0.0,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
A043,4.0,72,9,2,7.75,11,0,1,28,6,3,7,6,7,8,6,3,2,2,6,7,7,2,16,1,16,2,1.0,1.0,6.0,4.0,9.0,5.0,14.0,8.0,30.0,27.0,9.0,6.0,8.0,23.0,21.0,7.0,18.0,1.0,8,7,5,5,8,8,11,5,5,8,12,11,2,0,-1,0,1,0,1,-1,0,-1,-1,-1,7.75,-0.08333333333333333,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
A044,4.0,10,4,4,1.0,6,0,1,47,6,19,10,6,3,6,9,10,9,4,8,9,6,5,4,5,7,0,2.0,1.0,3.0,6.0,30.0,6.0,11.0,5.0,6.0,28.0,3.0,11.0,13.0,8.0,8.0,11.0,5.0,15.0,0,1,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0.16666666666666666,-0.08333333333333333,8.038611111111113,25.0,12.274444444444445,14.053888888888888,-1.0,25.0,25.0,22.528333333333332,5.803888888888888,6.898333333333333,4.896666666666665,11.399166666666668,1,0
A045,2.0,20,4,3,7.416666666666667,2,1,2,60,11,9,13,8,9,13,10,12,10,12,7,8,10,3,9,2,11,19,6.0,8.0,10.0,24.0,19.0,6.0,10.0,32.0,11.0,11.0,6.0,25.0,19.0,12.0,47.0,16.0,4.0,1.0,7,7,8,15,8,11,6,5,3,6,5,8,7,7,7,15,8,11,6,5,3,-1,4,-1,7.416666666666667,5.916666666666667,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,1,0
A046,1.0,16,5,1,10.1,4,0,1,26,12,5,5,9,6,5,2,9,4,3,3,3,2,4,18,1,22,2,8.0,1.0,7.0,11.0,5.0,13.0,5.0,8.0,21.0,33.0,6.0,8.0,5.0,3.0,3.0,0.0,24.0,1.0,10,10,11,9,10,7,10,5,11,18,-1,0,1,-1,2,0,0,0,0,-1,-1,-1,-1,-1,8.333333333333334,-0.25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,-1.0,1.7766666666666673,0,0
A047,0.0,5,0,0,0.0,2,1,2,11,6,3,3,3,0,0,0,0,0,0,0,0,0,0,5,0,5,12,11.0,6.0,0.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-0.75,-0.75,1.0622222222222213,-1.0,3.170277777777777,0.7941666666666691,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0
A048,3.0,67,5,13,5.2727272727272725,0,1,1,103,9,12,13,20,9,12,8,7,10,19,22,22,14,5,25,8,35,30,7.0,5.0,3.0,15.0,20.0,5.0,10.0,6.0,26.0,43.0,4.0,1.0,18.0,30.0,0.0,2.0,106.0,99.0,10,7,12,7,4,3,-1,4,4,10,1,4,0,0,0,0,-1,0,-1,0,-1,-1,-1,-1,5.416666666666667,-0.5,25.0,25.0,25.0,25.0,25.0,25.0,-1.0,25.0,25.0,25.0,25.0,25.0,0,0
A049,2.0,33,2,10,3.4166666666666665,0,1,1,53,2,3,4,9,10,3,5,6,5,10,10,8,11,6,14,1,17,0,2.0,1.0,1.0,5.0,4.0,9.0,10.0,3.0,16.0,11.0,4.0,9.0,7.0,8.0,18.0,9.0,49.0,11.0,6,1,1,5,2,3,1,6,3,2,7,10,1,0,0,0,1,-1,-1,0,0,0,0,-1,3.9166666666666665,-0.08333333333333333,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,0
A050,5.0,74,8,11,4.454545454545454,13,0,1,34,8,4,5,6,3,4,6,6,2,5,2,5,5,7,11,2,18,0,7.0,3.0,1.0,8.0,21.0,15.0,7.0,4.0,8.0,41.0,10.0,13.0,9.0,11.0,7.0,21.0,28.0,11.0,6,6,5,6,4,3,3,7,6,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,7.204166666666666,25.0,0,0
